datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Seasonal,Weekday Name,Sales Price,Comp Price,Competitor2,Competitor3,Competitor4,Competitor5,MRP,Cost of Manufacturing,inflation rate,Demand Score,discount rate,Margin,Inventory levels,Govt regulations,Expiry days
2/21/2014,6,4.34,9,25.4,17,0,0,0,2014,2,Friday,9.1,8.54,8.21,8.77,9.45,8.7,10.63,4.4,1.1,0.68,5,53.73,39.99,19.6,70
2/22/2014,7,3.17,5.7,26,12,0,1,0,2014,2,Saturday,8.93,9.11,8.33,8.2,8.11,8.96,11.55,4.25,1.1,0.96,8,52.97,33.99,19.6,33
2/23/2014,1,3.34,2,21,10,0,0,0,2014,2,Sunday,6.5,6.59,6.9,6.99,6.07,6.29,7.51,3.6,1.1,1.93,9,44.67,274,19.6,90
2/24/2014,7,4.68,5.5,26.5,4,0,0,3,2014,2,Monday,8.8,9.09,9.49,8,8.17,9.11,10.8,4.66,1.1,2.95,6,48.79,273,19.6,31
2/25/2014,5,1.68,11.2,34.5,13,0,0,2,2014,2,Tuesday,7.25,6.88,7.16,7.18,6.55,7.12,8.41,3.98,1.1,4.24,14,41.97,266,19.6,37
2/26/2014,5,4.01,1,34,5,0,12,1,2014,2,Wednesday,9.57,9.86,9.44,10.19,9.29,10.38,11.76,4.58,1.1,6.9,5,54.2,261,19.6,36
2/27/2014,3,6.34,4,33.2,8,1,2,1,2014,2,Thursday,7.8,7.95,8.34,8.37,7.36,7.05,10.09,4.65,1.1,6.85,6,42.34,256,19.6,60
2/28/2014,7,7.36,5.3,37,12,1,2,0,2014,2,Friday,9.24,9.61,8.72,10.13,8.72,9.51,11,4.95,1.1,0.86,19,39.87,253,19.6,44
3/1/2014,6.34,3.68,11.355,50.7,8,0,0,2.1,2014,3,Saturday,12.26,12.77,11.96,11.91,11.26,12.94,14.97,7.18,1.5,1.22,6,43.36,246,19.6,56
3/2/2014,3.34,1,2,6.6,2,0,0,1,2014,3,Sunday,13.98,12.78,14.49,12.91,14.68,14.83,16.34,7.01,1.5,5.46,18,44.41,239.66,19.6,88
3/3/2014,4,3.68,1.6,22.1,1,2,0,2.2,2014,3,Monday,11.62,11.07,10.61,10.9,11.65,12.22,14.99,6.97,1.5,0.35,18,33.5,236.32,19.6,51
3/4/2014,5.34,7.02,7.2,47.275,9,0,5,4,2014,3,Tuesday,10.62,10.38,10.07,9.79,9.68,10.35,13.77,5.18,1.5,3.49,17,46.58,232.32,19.6,90
3/5/2014,3.34,1,3,25,4,0,1,0,2014,3,Wednesday,12.43,11.61,13.35,13.16,11.71,11.5,15.74,6.37,1.5,2.47,15,45.19,226.98,19.6,79
3/6/2014,3,2,5.5,44.1,17,1,5,1,2014,3,Thursday,13.1,12.84,14.01,13.59,13.6,12.9,16.77,6.82,1.5,0.31,12,46.22,223.64,19.6,64
3/7/2014,4,4.34,9.5,25,3,1,0,2,2014,3,Friday,9.11,8.41,8.54,8.42,9.06,9.25,10.6,4.98,1.5,4.1,16,40.84,220.64,19.6,36
3/8/2014,4.34,3.07,1,27.6,11,0,0,0,2014,3,Saturday,11.78,11.82,11.97,12.25,12.23,12.31,14.6,5.78,1.5,5.5,18,45.6,216.64,19.6,34
3/9/2014,1,0,4,11.3,3,0,5,0,2014,3,Sunday,9.6,10.43,9.88,9.72,10.04,10.11,12.17,4.96,1.5,3.84,6,50.03,212.3,19.6,75
3/10/2014,6.68,5.35,3.8,47,11,0,0,2,2014,3,Monday,8.73,8.21,7.96,9.41,8,8.74,10.96,3.82,1.5,0.67,8,56.76,211.3,19.6,54
3/11/2014,6,5.7,7,30.4,12,1,1,5,2014,3,Tuesday,12.39,12.84,12.97,12.88,11.16,12.87,15.31,4.97,1.5,5.73,17,56.06,204.62,19.6,44
3/12/2014,6.34,2.68,6.5,19.6,22,3,2,2,2014,3,Wednesday,13.2,13.39,12.46,12.64,14.25,12.85,15.23,7.29,1.5,0.25,19,38.02,198.62,19.6,34
3/13/2014,2.31,4.36,5.3,15.5,10,0,26,2,2014,3,Thursday,11.48,10.35,12.21,10.56,11.58,11.88,14.04,5.67,1.5,1.06,10,50.11,192.28,19.6,68
3/14/2014,4.34,1.68,1.2,16,11,0,1,2,2014,3,Friday,13.26,14.25,13.43,12.6,13.19,12.62,16.02,7.11,1.5,0.53,7,47.59,189.97,19.6,65
3/15/2014,4,2,11,23.3,18,1,6,2,2014,3,Saturday,11.15,11.61,11.73,10.14,11.95,11.53,12.84,5.43,1.5,5.18,8,51.88,185.63,19.6,61
3/16/2014,2.68,2,1.4,13,6,0,0,4,2014,3,Sunday,9.61,9.65,9.6,9.1,9.31,10.1,12.47,5.38,1.5,4.51,13,41.5,181.63,19.6,73
3/17/2014,8.68,3.34,7,37,6,1,0,1,2014,3,Monday,11.46,11.71,10.65,11.14,12.36,12.42,14.2,5.87,1.5,1.3,15,45.22,178.95,19.6,60
3/18/2014,8,4,5,20.1,9,0,0,4,2014,3,Tuesday,10.19,9.87,11.18,9.2,10.6,9.44,13.01,5.9,1.5,2.77,9,42.16,170.27,19.6,73
3/19/2014,4,3.02,4,21.8,2,0,0,2,2014,3,Wednesday,11.93,11.38,12.9,12.36,10.98,11.5,14.42,5.9,1.5,1.38,16,46.48,162.27,19.6,37
3/20/2014,3,5.34,1.6,38.2,5,0,7,4.2,2014,3,Thursday,9.84,10.49,9.63,9.24,9.43,10.54,12.68,5.36,1.5,1.26,19,38.86,158.27,19.6,44
3/21/2014,6,3.68,4.5,40,4,0,2,1,2014,3,Friday,14.21,14.43,13.56,15.57,13.53,15.14,17.15,6,1.5,3.71,7,58.73,155.27,19.6,52
3/22/2014,3.34,2.34,0,26.3,10,2,18,8.4,2014,3,Saturday,9.63,8.77,10.48,10.19,10.22,8.94,11.83,4.98,1.5,3.8,8,48.9,149.27,19.6,88
3/23/2014,6.34,2,4,19.4,0,1,0,3,2014,3,Sunday,12.62,12.5,13.45,13.34,13.76,12.24,16.14,5.43,1.5,0.25,13,55.04,145.93,19.6,53
3/24/2014,5.68,1,4,23.6,7,0,6,3.5,2014,3,Monday,13.71,13.25,15,13.73,14.24,14.41,16.74,6.67,1.5,5.32,6,52.95,139.59,19.6,50
3/25/2014,4,1.34,9,38.6,7,0,1,1,2014,3,Tuesday,13.84,13.02,12.92,12.78,13.66,15.02,16.11,6.82,1.5,3.75,13,48.51,133.91,19.6,51
3/26/2014,2.34,3.99,9,6.7,7,3,3,0,2014,3,Wednesday,8.69,8.55,9.02,9.44,8.4,9.17,10.31,4.45,1.5,0.2,11,47.69,129.91,19.6,67
3/27/2014,4,0.33,2,20.7,6,1,1,5,2014,3,Thursday,11.95,12.99,10.94,11.49,10.79,12.03,14.95,6.81,1.5,3.59,13,40.45,127.57,19.6,48
3/28/2014,2.67,2,8,11,3,0,9,5,2014,3,Friday,13.43,14.01,14.65,13.47,14.64,14.66,17.18,5.59,1.5,3.12,8,58.87,123.57,19.6,47
3/29/2014,4,6.33,4.2,24,8,2,9,3,2014,3,Saturday,14.01,15.21,13.18,15.19,12.76,13.93,17.1,8.32,1.5,3.91,16,35.73,120.9,19.6,43
3/30/2014,3,2.34,0,12,4,0,0,7,2014,3,Sunday,8.9,9.1,8.7,8.57,8.9,9.09,11.53,4.46,1.5,1.04,15,46.4,116.9,19.6,72
3/31/2014,5.34,2.34,4,15.4,6,1,4,6,2014,3,Monday,9.81,9.87,10.18,9.83,9.39,9.44,12.62,5.49,1.5,1.2,15,40.15,113.9,19.6,69
4/1/2014,4.34,1.34,6.5,27.5,5,3,3,1,2014,4,Tuesday,12.12,13.2,12.8,12.11,11.18,13.13,15.16,6.93,2,4.15,19,35.83,108.56,19.6,70
4/2/2014,2,4.68,8.9,23,1,0,7,3,2014,4,Wednesday,9.79,9.13,10.02,9.28,10.27,8.95,12.42,4.66,2,3.99,10,51.92,104.22,19.6,31
4/3/2014,1,1.34,3,19.2,4,0,0,4,2014,4,Thursday,14.55,14.32,15.49,13.68,15.97,15.24,17.97,7.62,2,2.43,11,46.51,102.22,19.6,67
4/4/2014,3,3.67,3,24,9,3,8,2,2014,4,Friday,15.57,17,16.18,14.07,16.39,14.21,18.39,7.71,2,2.59,6,52.11,101.22,19.6,33
4/5/2014,2,7.68,10,25.6,5,0,5,3,2014,4,Saturday,12.41,13.42,12.64,13.34,11.21,11.29,15.95,7.09,2,4,13,40.3,98.22,19.6,76
4/6/2014,2,1,1,19,1,0,0,1,2014,4,Sunday,11.44,12.25,10.83,10.65,11.54,10.32,14.39,6.53,2,2.6,7,44.2,96.22,19.6,52
4/7/2014,6.34,6,6.5,31.5,4,0,0,1,2014,4,Monday,15.24,14.41,15.05,15.06,16.13,13.83,18.46,7.74,2,3.55,6,50.88,94.22,19.6,85
4/8/2014,4.34,2.34,1.7,19,6,1,0,4.7,2014,4,Tuesday,11.71,12.65,11.96,11.63,12.72,11.24,15.14,4.98,2,1.04,14,55.04,87.88,19.6,46
4/9/2014,6,1.02,1,18,2,1,2,2.6,2014,4,Wednesday,13.52,12.56,14,14.21,12.61,13.98,15.73,5.65,2,1.48,12,56.83,83.54,19.6,68
4/10/2014,3.33,1.68,1,18,10,0,4,4,2014,4,Thursday,10.25,10.93,11,11.26,10.6,10.75,13.08,5.67,2,7.62,16,40.13,77.54,19.6,55
4/11/2014,6,4,3,25,2,2,0,2,2014,4,Friday,13.33,13.76,13.39,12.48,13.9,14.11,16.87,7.92,2,2.43,15,36.45,74.21,19.6,62
4/12/2014,7.02,3.34,6,23.5,19,0,11,4,2014,4,Saturday,10.48,10.64,11.11,10.81,10.03,10.22,13.34,5.14,2,2.84,7,52.06,68.21,19.6,73
4/13/2014,3,2,2,6,3,0,5,2,2014,4,Sunday,14.97,14.67,16.29,14.66,15.51,14.44,18.52,7.9,2,7.64,11,46.1,61.19,19.6,32
4/14/2014,1.34,4.68,5.35,28.28,10,0,5,5,2014,4,Monday,11.51,11.48,10.86,11.41,12.27,11.28,14.06,6.79,2,2.55,8,41.71,58.19,19.6,43
4/15/2014,4.34,3,6.4,18.7,12,0,10,1,2014,4,Tuesday,10.02,10.96,9.96,9.65,10.64,9.46,12.48,5.33,2,2.57,11,45.67,56.85,19.6,60
4/16/2014,2,1.01,4.2,25.62,1,0,6,4,2014,4,Wednesday,12.78,14.05,13.97,12.22,13.78,12.74,14.84,5.5,2,4,19,51.7,52.51,19.6,66
4/17/2014,5.34,0.34,7.2,16,19,0,0,0,2014,4,Thursday,14.99,13.73,15.74,15.16,13.7,13.8,19.07,6.17,2,1.16,19,53.8,50.51,19.6,39
4/18/2014,7,7,8,23.3,10,1,0,5,2014,4,Friday,15.04,16.05,13.56,14.92,16.52,15.71,17.62,8.52,2,5.65,16,38.69,45.17,19.6,90
4/19/2014,7.34,3.35,4,22.3,7,0,3,5,2014,4,Saturday,11.48,11.88,12.17,10.51,10.43,11.64,14.5,6.31,2,8.9,5,47.4,38.17,19.6,57
4/20/2014,0,0,0,0,0,0,0,0,2014,4,Sunday,13.29,13.39,12.53,12.94,13.14,12.37,16.37,5.51,2,7.8,17,54.59,30.83,19.6,49
4/21/2014,1.34,1.68,2.1,13.5,8,0,0,1,2014,4,Monday,10.37,10.01,9.34,10.59,11.11,10.26,12.55,5.82,2,0.58,14,40.67,30.83,19.6,54
4/22/2014,5.34,7.165,3.3,32,8,1,0,1,2014,4,Tuesday,12.17,11.17,12.61,11.3,11.39,11.56,15.04,5.19,2,0.13,14,54.92,257,19.6,82
4/23/2014,6.34,2.34,3,24.9,8,1,2,1,2014,4,Wednesday,10.42,11.23,10.16,9.59,9.82,10.2,13.43,4.48,2,0.57,11,56.08,251.66,19.6,54
4/24/2014,2,2,1.1,26,6,0,6,2,2014,4,Thursday,15.08,13.73,13.64,14.4,14.45,16.5,18.2,7.71,2,6.42,9,48.92,245.32,19.6,55
4/25/2014,3,2.02,5,24.9,10,1,1,3,2014,4,Friday,14.42,13.75,15.68,14.57,14.03,14.2,17.52,8.02,2,3.84,16,39.81,243.32,19.6,37
4/26/2014,4.34,2.67,5.5,35,12,1,6,4,2014,4,Saturday,15,14.03,14.68,15.32,15.68,15.86,19.5,7.26,2,1.53,10,51.11,240.32,19.6,52
4/27/2014,4,2.34,2,26.2,2,0,1,1,2014,4,Sunday,14.52,14.2,15,13.8,15.36,15.32,18.03,6.55,2,5.45,7,55.9,235.98,19.6,34
4/28/2014,1.34,3.09,3,29.1,8,2,0,2,2014,4,Monday,12.79,13.08,13.87,12.55,13.55,13.11,15.06,5.97,2,1.06,13,51.23,231.98,19.6,59
4/29/2014,3.33,4.02,4.4,30.3,6,1,5,0.4,2014,4,Tuesday,11.69,12.36,12.65,10.83,12.57,10.64,14.81,6.3,2,3.09,18,40.25,230.64,19.6,75
4/30/2014,4.34,2.68,7,43.1,11,0,7,4,2014,4,Wednesday,12.7,13.04,13.58,12.26,12.89,11.54,15.4,6.42,2,1.06,10,48.94,227.31,19.6,40
5/1/2014,0,0,0,0,0,0,0,0,2014,5,Thursday,12.74,13.28,11.57,11.72,14,11.84,15.35,5.87,2.1,4.57,6,55.44,222.97,19.6,58
5/2/2014,7.34,7.34,6.3,39.5,16,1,12,2,2014,5,Friday,12.61,11.44,12.7,12.54,13.6,11.76,15.57,5.89,2.1,1.09,18,48.22,222.97,19.6,81
5/3/2014,4,5.34,2,14.6,5,2,0,2.5,2014,5,Saturday,10.28,9.86,11.04,10.09,9.8,9.6,13.18,5.55,2.1,4.74,5,48.34,215.63,19.6,83
5/4/2014,1.67,4.69,1.2,20,3,0,0,3,2014,5,Sunday,9.89,9.28,9.1,10.17,10.86,9.78,12.33,4.37,2.1,2.88,10,55.37,211.63,19.6,39
5/5/2014,3,5.785,5,20,7,0,3,4,2014,5,Monday,10.32,11.22,10.89,10.49,9.35,9.38,12.05,4.84,2.1,2.35,12,51.55,209.96,19.6,41
5/6/2014,7.34,4.36,4,22,10,2,6,5,2014,5,Tuesday,10.13,11.13,9.29,10.72,10.5,10.97,12.86,4.67,2.1,3.16,5,55.88,206.96,19.6,56
5/7/2014,3.33,6.32,3,16.8,8,1,3,11,2014,5,Wednesday,9.54,10.19,8.77,10.01,9.49,9.76,11.36,4.85,2.1,4.43,15,45.63,199.62,19.6,38
5/8/2014,2,2.34,3.4,20.4,10,3,0,5,2014,5,Thursday,10.97,10.54,10.94,10.53,10.42,9.9,12.89,5.91,2.1,2.57,7,47.34,196.29,19.6,88
5/9/2014,2,5,4.2,16,12,2,1,2,2014,5,Friday,10.71,10.43,10.71,11.52,9.89,10.28,13.42,6.08,2.1,1.96,17,37.82,194.29,19.6,67
5/10/2014,5,6,9,39.4,15,3,1,5,2014,5,Saturday,12.51,13.06,12.14,12.52,11.75,11.73,16.11,5.89,2.1,2.12,5,54.95,192.29,19.6,90
5/11/2014,2,2.68,1,17,7,0,1,4,2014,5,Sunday,13.93,14.86,14.91,14.67,13.82,14.88,16.65,8.1,2.1,2.7,14,38.53,187.29,19.6,32
5/12/2014,4.34,3.34,9,12,8,0,5,2,2014,5,Monday,9.36,10.27,9.44,10.07,9.15,8.49,11.23,3.96,2.1,2.2,6,59.08,185.29,19.6,86
5/13/2014,3.68,0.34,6.2,32,7,0,25,7.5,2014,5,Tuesday,12.04,11.76,11.64,12.56,12.18,12.27,14.47,7.2,2.1,2.28,6,42.17,180.95,19.6,66
5/14/2014,1,4.02,6,24.3,4,0,0,3,2014,5,Wednesday,10.02,9.43,9.97,11.02,9.85,9.03,12.59,5.98,2.1,3.45,7,41.66,177.27,19.6,63
5/15/2014,2.34,2.02,3,19.3,7,0,1,2,2014,5,Thursday,12.97,13.02,13.06,11.99,13.1,12.5,15.71,6.64,2.1,1.35,8,49.41,176.27,19.6,43
5/16/2014,5.34,7,3,22,10,1,11,1,2014,5,Friday,11.33,10.53,12.25,11.16,11.72,10.43,14.39,5.18,2.1,3.3,5,56.25,173.93,19.6,87
5/17/2014,2.34,7.68,3,35,14,1,0,2,2014,5,Saturday,10.55,10.9,10.87,9.84,10.48,9.72,12.27,4.72,2.1,5.18,16,51.58,168.59,19.6,75
5/18/2014,3.34,2,5,9.4,6,0,0,1,2014,5,Sunday,13.45,13.32,13.4,13.14,14.14,13.74,16.57,5.64,2.1,3.96,11,57.17,166.25,19.6,31
5/19/2014,8.34,3.84,6.1,12.8,5,0,3,9,2014,5,Monday,14.29,15.32,14.41,14.87,14.51,13.86,17.63,7.2,2.1,2.78,15,46.11,162.91,19.6,52
5/20/2014,1,2.375,7,27,10,1,0,3.6,2014,5,Tuesday,9.95,10.44,10.12,9.65,9.33,9.95,11.88,5.51,2.1,3.42,13,42.13,154.57,19.6,62
5/21/2014,2,4.68,9.5,15.4,6,1,0,3,2014,5,Wednesday,11.03,10.04,10.53,10.51,10.18,10.11,12.97,5.84,2.1,1.09,15,43.37,153.57,19.6,48
5/22/2014,3.68,1.33,1.2,8,8,0,2,4,2014,5,Thursday,11.4,12.31,12.33,12.17,11.46,12.36,13.81,5.47,2.1,0.96,11,50.99,151.57,19.6,80
5/23/2014,5,2.34,3.9,17.5,8,2,10,7,2014,5,Friday,13.6,12.42,14.86,13.11,14.49,13.92,16.59,6.38,2.1,3.73,14,50.41,147.89,19.6,33
5/24/2014,3,4.713,5,28,11,1,0,9,2014,5,Saturday,14.55,14.25,15.45,15.72,13.92,14.25,18.74,7.8,2.1,2.72,9,46.45,142.89,19.6,50
5/25/2014,2,3,1,7,8,0,5,1,2014,5,Sunday,14.47,13.11,15.48,15.87,15.39,15.85,18.44,7.69,2.1,3.91,18,41.08,139.89,19.6,75
5/26/2014,2.68,3.34,7.4,18,7,1,0,5,2014,5,Monday,14.98,15.42,14.12,15.44,15.78,15.07,18.51,6.22,2.1,3.99,17,54.52,137.89,19.6,40
5/27/2014,0,2.34,5,28.6,12,1,1,6,2014,5,Tuesday,14.62,14.91,15.29,13.46,13.66,14.45,18.74,5.97,2.1,3.47,10,58.75,135.21,19.6,52
5/28/2014,1.34,5.02,1.4,10.28,9,0,2,5.1,2014,5,Wednesday,12.68,12.52,11.45,11.99,11.68,12.1,15.63,7.47,2.1,1.47,14,37.73,135.21,19.6,73
